WBID,name,mine_query
GB106039030110,Gubbinshole and Broadmoor ditch to Ray (Oxon),gubbinshole ditch OR broadmoor ditch
GB106039030150,Town Brook at Bicester,Town Brook OR bicester river
GB106039030100,Ray and tributaries NorthEast of Grendon Underwood,Ray Brook OR grendon underwood river
GB106039030090,Oxon Ray (upstream A41 to Cherwell) including Otmoor,river ray OR otmoor river
GB106039030120,Summerstown Ditch and Launton and Cutters Brook,Summerstown Ditch OR Launton Brook OR Cutters Brook
GB106039030130,Gallos Brook,Gallos Brook
GB106039030140,Langford Brook (Bicester to Ray inc Gagle Brook),langford brook OR gagle brook OR bicester river
GB106039030160,Langford Brook (source to downstream A41),langford brook
GB106039030080,Bletchingdon Stream,Bletchingdon Stream
GB106039030060,Ludgershall Brook and Muswellhill Brook,Ludgershall Brook OR Muswellhill Brook
GB106039030180,Northfield Brook (Source to Thames) at Sandford,northfield brook OR sandford river
GB106039023630,Moor Ditch and Ladygrove Ditch,Moor Ditch OR Ladygrove Ditch
GB106039023350,Letcombe Brook,Letcombe Brook
GB106039030334,Thames (Evenlode to Thame),thames river
GB106039023340,Stutfield Brook (source to Ock),stutfield brook
GB106039023410,Sandford Brook (source to Ock),sandford brook
GB106039023420,Frilford and Marcham Brook,Frilford OR Marcham Brook
GB106039023660,Ginge Brook and Mill Brook,Ginge Brook OR Mill Brook
GB106039023360,Cow Common Brook and Portobello Ditch,Cow Common Brook OR Portobello Ditch
GB106039023380,Childrey Brook and Norbrook at Common Barn,Childrey Brook OR Norbrook
GB106039023430,Ock and tributaries (Land Brook confluence to Thames),river ock
GB106039023370,Childrey and Woodhill Brooks,Childrey Brook OR Woodhill Brook
GB106039023400,Ock (to Cherbury Brook),river ock
GB106039022860,"Liden Brook, Swindon",liden brook
GB106039023110,Dudgrove Brook,Dudgrove Brook
GB106039030300,Ampney and Poulton Brooks (Source to Thames),ampney brook OR poulton brook
GB106039023730,Cole (Bower Bridge to Thames) including Coleshill,river cole OR bower bridge river
GB106039023330,Ray (Wiltshire) (Lydiard Brook to Thames),river ray or Lydiard brook
GB106039022950,Waterloo Ditch (East of Coleshill),waterloo ditch OR coleshil river
GB106039022960,Thames (Waterhaybridge to Cricklade) and Chelworth Brook,tjames river waterhaybridge OR thames river Cricklade
GB106039023650,Key (Source to Thames),river key
GB106039023800,Cerney Wick Brook (source to Thames),cerney wick brook
GB106039029750,Churn  (Baunton to Cricklade),river churn OR river baunton OR river cricklade
GB106039023860,Marston Meysey Brook,Marston Meysey Brook
GB30642155,Coate Water,Coate Water
GB106039023320,Ray (Wiltshire) source to Lydiard Brook,river ray OR lydiard brook
GB106039029810,Churn (source to Perrots Brook),river churn
GB106039029992,Coln (from Coln Rogers) and Thames (Coln to Leach),river coln
GB106039029760,Thornhill Ditch and tributaries at Cotswolds Water Park,Thornhill Ditch
GB106039022920,Tuckmill Brook and tributaries,Tuckmill Brook
GB106039022870,"Lenta Brook, East of Swindon",river lenta
GB106039023680,Share ditch,Share ditch water
GB106039023700,Swill Brook (source to Ashton Keynes),swill brook OR ashton keynes river
GB106039029790,Elkstone Brook,elkstone brook
GB106039029991,Coln (Source to Coln Rogers),river coln
GB106039023810,Kemble Ditch at Kemble,Kemble Ditch
GB30641559,Cotswold Water Park Lake 12,Cotswold Water Park Lake
GB106039022890,Cole (source to Lenta Brook),river cole
GB106039023620,Derry Brook,Derry Brook
